step,loss,train_reward,mean_topk_divergence,mask_fraction,kl_mean,entropy_mean,ratio_max,response_length,gpu_hours,cpu_load_1m,cpu_rss_gb,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_memory_peak_gb
1,-4.8875852371566e-05,0.050000000745058,0.0,0.0,0.0,7.038212776184082,1.0,255.75,0.0015254999531639,0.1904296875,0.0018200017511844,5.297340393066406,9.20703125,7.867942810058594
2,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,7.051348686218262,1.0,256.0,0.002856358024809,0.25537109375,0.0018200017511844,5.351678848266602,17.05859375,8.908633708953857
3,-0.0,0.1000000014901161,0.0,0.0,0.0,7.016543865203857,1.0,256.0,0.0041913551092147,0.3154296875,0.0018200017511844,5.134328842163086,17.05859375,8.908633708953857
4,-0.0,0.050000000745058,0.0,0.0,0.0,7.324608325958252,1.0,256.0,0.0055710370673073,0.37060546875,0.0018518008291721,6.143435478210449,17.08203125,8.908633708953857
5,-0.0,0.050000000745058,0.0,0.0,0.0,7.144109725952148,1.0,256.0,0.0068497822019788,0.42138671875,0.0018531121313571,7.145565986633301,17.08203125,9.71996545791626
6,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,6.913159370422363,1.0,256.0,0.0081000102890862,0.4677734375,0.0018532313406467,6.855764865875244,17.08203125,10.281269550323486
7,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,7.083821296691895,1.0,256.0,0.0093374722533755,0.5107421875,0.0018533505499362,6.882933139801025,17.08203125,10.281269550323486
8,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,7.030034065246582,1.0,256.0,0.0105771462122599,0.55029296875,0.0018535889685153,6.052872657775879,17.08203125,10.318360805511476
9,-9.167706593871116e-10,0.025000000372529,0.0,0.0,0.0,6.80109167098999,1.0,256.0,0.0118238072925143,0.55029296875,0.0018535889685153,6.9684648513793945,17.08203125,10.318360805511476
10,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,6.915899276733398,1.0,256.0,0.0130660700798034,0.58642578125,0.0018537081778049,6.923184394836426,17.08203125,10.318360805511476
11,1.86992110684514e-09,0.0750000029802322,0.0,0.0,0.0,6.970142364501953,1.0,256.0,0.0143069436152776,0.61962890625,0.0018537081778049,6.814507007598877,17.08203125,10.318360805511476
12,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,7.004852294921875,1.0,256.0,0.015570748647054,0.650390625,0.0018538273870944,6.143435478210449,17.08203125,10.502336502075195
13,1.877197064459324e-09,0.0750000029802322,0.0,0.0,0.0,6.811771392822266,1.0,256.0,0.0169272097614076,0.6787109375,0.0018715895712375,7.583186626434326,25.771484375,10.597046852111816
14,-9.022187441587447e-10,0.025000000372529,0.0,0.0,0.0,6.937155723571777,1.0,256.0,0.0181954085164599,0.70458984375,0.0018715895712375,6.884992599487305,25.771484375,10.746058464050291
15,-0.0,0.1000000014901161,0.0,0.0,0.0,6.899595737457275,1.0,256.0,0.0195059321986304,0.728515625,0.0018715895712375,6.749149322509766,25.771484375,10.746058464050291
16,-6.25732354819774e-10,0.025000000372529,0.0,0.0,0.0,6.923678398132324,1.0,256.0,0.0207621449232101,0.75048828125,0.0018717087805271,6.016648292541504,25.771484375,10.746058464050291
17,-0.0,0.0,0.0,0.0,0.0,6.991859436035156,1.0,256.0,0.022026669051912,0.7705078125,0.0018717087805271,6.870767116546631,25.771484375,10.746058464050291
18,-0.0,0.050000000745058,0.0,0.0,0.0,7.146392345428467,1.0,256.0,0.0232867657476001,0.7890625,0.0018717087805271,6.84359884262085,25.771484375,10.746058464050291
19,1.86992110684514e-09,0.0750000029802322,0.0,0.0,0.0,6.989265441894531,1.0,256.0,0.0245570321215523,0.80615234375,0.0018718279898166,6.725867748260498,25.771484375,10.746058464050291
