step,loss,train_reward,clip_fraction,kl_mean,entropy_mean,ratio_max,response_length,gpu_hours,cpu_load_1m,cpu_rss_gb,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_memory_peak_gb
1,-0.1408187597990036,0.05000000074505806,0.0,0.0,7.03849458694458,1.0,255.75,0.002078641653060913,0.3701171875,0.0018612705171108246,2.7291345596313477,9.20703125,7.009880065917969
2,-0.14091524481773376,0.07500000298023224,0.0,0.0,7.045762062072754,1.0,256.0,0.004039552874035305,0.46728515625,0.0018612705171108246,2.742720603942871,17.05859375,8.039554595947266
3,-0.140226349234581,0.10000000149011612,0.0,0.0,7.011317253112793,1.0,256.0,0.005988935894436306,0.51025390625,0.0018612705171108246,2.688380241394043,17.05859375,8.039554595947266
4,-0.14724881947040558,0.02500000037252903,0.0,0.0,7.36121940612793,1.0,255.75,0.007886011666721768,0.5859375,0.001942947506904602,3.6263561248779297,17.08203125,8.039554595947266
5,-0.14195236563682556,0.07500000298023224,0.0,0.0,7.093952655792236,1.0,255.75,0.009798886312378777,0.619140625,0.0019444972276687622,4.575967788696289,17.08203125,8.857854843139648
6,-0.13852888345718384,0.05000000074505806,0.0,0.0,6.926444053649902,1.0,256.0,0.011690617932213678,0.64990234375,0.0019447356462478638,4.503512859344482,17.08203125,9.271448612213135
7,-0.13906297087669373,0.07500000298023224,0.0,0.0,6.95314884185791,1.0,256.0,0.013567523492707147,0.7041015625,0.0019448548555374146,4.510304927825928,17.08203125,9.327885627746582
8,-0.1390235275030136,0.07500000298023224,0.0,0.0,6.951176643371582,1.0,256.0,0.015516483982404072,0.72802734375,0.0019448548555374146,3.6037139892578125,17.08203125,9.502399444580078
9,-0.13829278945922852,0.05000000074505806,0.0,0.0,6.914639472961426,1.0,256.0,0.017412995100021363,0.77001953125,0.0019450932741165161,4.533597946166992,17.08203125,9.502399444580078
10,-0.13877488672733307,0.02500000037252903,0.0,0.0,6.93874454498291,1.0,256.0,0.019261838396390278,0.78857421875,0.0019450932741165161,4.52227783203125,17.08203125,9.502399444580078
11,-0.14220520853996277,0.05000000074505806,0.0,0.0,7.110260486602783,1.0,256.0,0.021204132967525057,0.8056640625,0.0019450932741165161,4.495105266571045,17.08203125,9.502399444580078
12,-0.13822302222251892,0.05000000074505806,0.0,0.0,6.911150932312012,1.0,256.0,0.02313768247763316,0.8359375,0.001945212483406067,3.6263561248779297,17.08203125,9.660305500030518
13,-0.14091521501541138,0.05000000074505806,0.0,0.0,7.0457611083984375,1.0,256.0,0.025084056191974215,0.84912109375,0.0019454509019851685,4.685970783233643,25.771484375,9.660305500030518
14,-0.13774827122688293,0.05000000074505806,0.0,0.0,6.88741397857666,1.0,256.0,0.02698785192436642,0.861328125,0.0019455701112747192,4.511565208435059,25.771484375,9.660305500030518
15,-0.14059315621852875,0.02500000037252903,0.0,0.0,7.029658317565918,1.0,256.0,0.02881290422545539,0.8828125,0.0019455701112747192,4.477602958679199,25.771484375,9.660305500030518
16,-0.1427731066942215,0.05000000074505806,0.0,0.0,7.138655662536621,1.0,256.0,0.030650738610161675,0.892578125,0.0019455701112747192,3.5946578979492188,25.7734375,9.660305500030518
17,-0.14105987548828125,0.05000000074505806,0.0,0.0,7.0529937744140625,1.0,256.0,0.03249836676650577,0.9013671875,0.0019455701112747192,4.509914875030518,25.7734375,9.660305500030518
18,-0.14251422882080078,0.05000000074505806,0.0,0.0,7.125711441040039,1.0,256.0,0.03437111039956411,0.9169921875,0.0019455701112747192,4.503122806549072,25.7734375,9.660305500030518
